Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,U.S. Viewers (Millions),IMDb Rating,Rotten Tomatoes Rating,Metacritic Ratings,Novel(s) Adapted,Average Rating
1,1,1,Winter Is Coming,2.22,8.9,10.0,9.1,A Game of Thrones,9.333333333333334
1,2,2,The Kingsroad,2.2,8.6,10.0,8.9,A Game of Thrones,9.166666666666666
1,3,3,Lord Snow,2.44,8.5,8.1,8.7,A Game of Thrones,8.433333333333332
1,4,4,"Cripples, Bastards, and Broken Things",2.45,8.6,10.0,9.1,A Game of Thrones,9.233333333333333
1,5,5,The Wolf and the Lion,2.58,9.0,9.5,9.0,A Game of Thrones,9.166666666666666
1,6,6,A Golden Crown,2.44,9.1,10.0,9.2,A Game of Thrones,9.433333333333332
1,7,7,You Win or You Die,2.4,9.1,10.0,9.4,A Game of Thrones,9.5
1,8,8,The Pointy End,2.72,8.9,9.5,8.9,A Game of Thrones,9.1
1,9,9,Baelor,2.66,9.6,10.0,9.5,A Game of Thrones,9.700000000000001
1,10,10,Fire and Blood,3.04,9.4,10.0,9.4,A Game of Thrones,9.6
2,1,11,The North Remembers,3.86,8.6,10.0,8.9,A Clash of Kings,9.166666666666666
2,2,12,The Night Lands,3.76,8.4,8.9,7.7,A Clash of Kings,8.333333333333334
2,3,13,What Is Dead May Never Die,3.77,8.7,10.0,8.3,A Clash of Kings,9.0
2,4,14,Garden of Bones,3.65,8.6,9.7,9.0,A Clash of Kings,9.1
2,5,15,The Ghost of Harrenhal,3.9,8.6,9.6,7.6,A Clash of Kings,8.6
2,6,16,The Old Gods and the New,3.88,8.9,10.0,9.3,A Clash of Kings,9.4
2,7,17,A Man Without Honor,3.69,8.8,9.6,8.7,A Clash of Kings,9.033333333333333
2,8,18,The Prince of Winterfell,3.86,8.6,10.0,8.8,A Clash of Kings,9.133333333333333
2,9,19,Blackwater,3.38,9.6,10.0,9.5,A Clash of Kings,9.700000000000001
2,10,20,Valar Morghulis,4.2,9.3,9.2,9.2,A Clash of Kings,9.233333333333333
3,1,21,Valar Dohaeris,4.37,8.6,9.8,8.3,A Storm of Swords,8.9
3,2,22,"Dark Wings, Dark Words",4.27,8.5,8.9,7.4,A Storm of Swords,8.266666666666667
3,3,23,Walk of Punishment,4.72,8.7,9.2,8.8,A Storm of Swords,8.9
3,4,24,And Now His Watch Is Ended,4.87,9.5,10.0,9.3,A Storm of Swords,9.6
3,5,25,Kissed by Fire,5.35,8.9,10.0,9.2,A Storm of Swords,9.366666666666667
3,6,26,The Climb,5.5,8.7,8.3,8.7,A Storm of Swords,8.566666666666666
3,7,27,The Bear and the Maiden Fair,4.84,8.6,7.8,8.5,A Storm of Swords,8.3
3,8,28,Second Sons,5.13,8.9,9.7,9.1,A Storm of Swords,9.233333333333333
3,9,29,The Rains of Castamere,5.22,9.9,10.0,9.7,A Storm of Swords,9.866666666666667
3,10,30,Mhysa,5.39,9.0,10.0,8.5,A Storm of Swords,9.166666666666666
4,1,31,Two Swords,6.64,9.0,9.5,9.1,A Storm of Swords,9.200000000000001
4,2,32,The Lion and the Rose,6.31,9.7,10.0,9.4,A Storm of Swords,9.700000000000001
4,3,33,Breaker of Chains,6.59,8.7,9.6,7.9,A Storm of Swords,8.733333333333334
4,4,34,Oathkeeper,6.95,8.7,9.6,9.0,A Storm of Swords,9.1
4,5,35,First of His Name,7.16,8.6,9.8,8.9,A Storm of Swords,9.1
4,6,36,The Laws of Gods and Men,6.4,9.7,9.4,8.6,A Storm of Swords,9.233333333333333
4,7,37,Mockingbird,7.2,9.0,10.0,9.2,A Storm of Swords,9.4
4,8,38,The Mountain and the Viper,7.17,9.7,9.6,9.6,A Storm of Swords,9.633333333333333
4,9,39,The Watchers on the Wall,6.95,9.6,9.4,9.4,A Storm of Swords,9.466666666666667
4,10,40,The Children,7.09,9.6,9.8,8.4,A Storm of Swords,9.266666666666667
5,1,41,The Wars to Come,8.0,8.3,9.6,8.7,"A Feast for Crows, A Dance with Dragons and original content",8.866666666666667
5,2,42,The House of Black and White,6.81,8.4,9.6,8.9,"A Feast for Crows, A Dance with Dragons and original content",8.966666666666667
5,3,43,High Sparrow,6.71,8.4,10.0,9.0,"A Feast for Crows, A Dance with Dragons and original content",9.133333333333333
5,4,44,Sons of the Harpy,6.82,8.5,9.6,6.5,"A Feast for Crows, A Dance with Dragons and original content",8.200000000000001
5,5,45,Kill the Boy,6.56,8.5,9.4,9.0,"A Feast for Crows, A Dance with Dragons and original content",8.966666666666667
5,6,46,"Unbowed, Unbent, Unbroken",6.24,7.9,5.4,7.6,"A Feast for Crows, A Dance with Dragons and original content",6.966666666666666
5,7,47,The Gift,5.4,8.8,8.4,7.8,"A Feast for Crows, A Dance with Dragons and original content",8.333333333333334
5,8,48,Hardhome,7.01,9.8,10.0,9.1,"A Feast for Crows, A Dance with Dragons and original content",9.633333333333333
5,9,49,The Dance of Dragons,7.14,9.4,8.3,8.1,"A Feast for Crows, A Dance with Dragons and original content",8.6
5,10,50,Mother's Mercy,8.11,9.1,9.2,8.3,"A Feast for Crows, A Dance with Dragons and original content",8.866666666666665
6,1,51,The Red Woman,7.94,8.4,8.6,6.4,Outline from The Winds of Winter and original content,7.8
6,2,52,Home,7.29,9.3,8.8,6.2,Outline from The Winds of Winter and original content,8.1
6,3,53,Oathbreaker,7.28,8.6,8.7,6.2,Outline from The Winds of Winter and original content,7.833333333333333
6,4,54,Book of the Stranger,7.82,9.0,10.0,6.6,Outline from The Winds of Winter and original content,8.533333333333333
6,5,55,The Door,7.89,9.7,9.8,7.0,Outline from The Winds of Winter and original content,8.833333333333334
6,6,56,Blood of My Blood,6.71,8.3,8.6,6.5,Outline from The Winds of Winter and original content,7.8
6,7,57,The Broken Man,7.8,8.5,9.8,6.5,Outline from The Winds of Winter and original content,8.266666666666667
6,8,58,No One,7.6,8.3,8.4,5.8,Outline from The Winds of Winter and original content,7.5
6,9,59,Battle of the Bastards,7.66,9.9,9.8,8.0,Outline from The Winds of Winter and original content,9.233333333333333
6,10,60,The Winds of Winter,8.89,9.9,9.9,7.8,Outline from The Winds of Winter and original content,9.200000000000001
7,1,61,Dragonstone,10.11,8.5,9.3,6.1,Outline from A Dream of Spring and original content,7.966666666666666
7,2,62,Stormborn,9.27,8.8,9.6,5.8,Outline from A Dream of Spring and original content,8.066666666666668
7,3,63,The Queen's Justice,9.25,9.1,9.0,6.3,Outline from A Dream of Spring and original content,8.133333333333333
7,4,64,The Spoils of War,10.17,9.7,9.7,6.6,Outline from A Dream of Spring and original content,8.666666666666666
7,5,65,Eastwatch,10.72,8.7,9.5,5.3,Outline from A Dream of Spring and original content,7.833333333333333
7,6,66,Beyond the Wall,10.24,9.0,8.4,4.9,Outline from A Dream of Spring and original content,7.433333333333334
7,7,67,The Dragon and the Wolf,12.07,9.4,8.8,6.0,Outline from A Dream of Spring and original content,8.066666666666668
8,1,68,Winterfell,11.76,7.6,9.2,5.5,Outline from A Dream of Spring and original content,7.433333333333333
8,2,69,A Knight of the Seven Kingdoms,10.29,7.9,8.7,5.9,Outline from A Dream of Spring and original content,7.5
8,3,70,The Long Night,12.02,7.5,7.4,4.2,Outline from A Dream of Spring and original content,6.366666666666667
8,4,71,The Last of the Starks,11.8,5.5,5.8,2.9,Outline from A Dream of Spring and original content,4.733333333333333
8,5,72,The Bells,12.48,6.0,4.9,3.4,Outline from A Dream of Spring and original content,4.766666666666667
8,6,73,The Iron Throne,13.61,4.0,4.7,2.6,Outline from A Dream of Spring and original content,3.766666666666667
